version,date,day,NOM,LOC,WMC,WMCv,MVG,NOM%,LOC%,WMC%,WMCv%,MVG%,Cumulative NOM%,Cumulative LOC%,Cumulative WMC%,Cumulative WMCv%,Cumulative MVG%
v0.0.1,27/05/2009,0,25,1379,103,7,276,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
v0.0.2,31/05/2009,3,25,1378,103,7,276,0.00%,-0.07%,0.00%,0.00%,0.00%,0.00%,-0.07%,0.00%,0.00%,0.00%
v0.0.3,11/06/2009,14,25,1414,104,7,282,0.00%,2.61%,0.97%,0.00%,2.17%,0.00%,2.54%,0.97%,0.00%,2.17%
v0.0.5,19/06/2009,22,25,1428,108,8,285,0.00%,0.99%,3.85%,14.29%,1.06%,0.00%,3.53%,4.82%,14.29%,3.24%
v0.1.0,30/06/2009,33,31,1958,147,14,359,24.00%,37.11%,36.11%,75.00%,25.96%,24.00%,40.64%,40.93%,89.29%,29.20%
v0.1.2,01/08/2009,65,32,2196,157,28,373,3.23%,12.16%,6.80%,100.00%,3.90%,27.23%,52.80%,47.73%,189.29%,33.10%
v0.1.3,06/08/2009,70,32,2196,157,28,373,0.00%,0.00%,0.00%,0.00%,0.00%,27.23%,52.80%,47.73%,189.29%,33.10%
v0.1.4,13/08/2009,77,31,2235,166,36,367,-3.13%,1.78%,5.73%,28.57%,-1.61%,24.10%,54.58%,53.46%,217.86%,31.49%
v0.1.5,22/08/2009,86,31,2225,164,35,367,0.00%,-0.45%,-1.20%,-2.78%,0.00%,24.10%,54.13%,52.26%,215.08%,31.49%
v0.1.7,27/08/2009,91,29,2371,171,40,375,-6.45%,6.56%,4.27%,14.29%,2.18%,17.65%,60.69%,56.53%,229.37%,33.67%
v0.1.8,04/09/2009,99,32,2505,181,44,393,10.34%,5.65%,5.85%,10.00%,4.80%,27.99%,66.34%,62.37%,239.37%,38.47%
v0.1.9,05/09/2009,100,32,2505,181,44,393,0.00%,0.00%,0.00%,0.00%,0.00%,27.99%,66.34%,62.37%,239.37%,38.47%
v0.1.10,12/09/2009,107,31,2472,184,45,397,-3.13%,-1.32%,1.66%,2.27%,1.02%,24.87%,65.02%,64.03%,241.64%,39.49%
v0.1.11,19/09/2009,114,30,2343,181,45,400,-3.23%,-5.22%,-1.63%,0.00%,0.76%,21.64%,59.81%,62.40%,241.64%,40.25%
v0.1.12,24/09/2009,119,30,2130,176,47,342,0.00%,-9.09%,-2.76%,4.44%,-14.50%,21.64%,50.72%,59.64%,246.08%,25.75%
v0.1.13,01/10/2009,126,30,2137,176,47,343,0.00%,0.33%,0.00%,0.00%,0.29%,21.64%,51.04%,59.64%,246.08%,26.04%
